                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.257,                  1.598,                 2.7698,                 1.0211,                0.00332,                 0.9975,                0.67801,                0.26699,                0.00333,                      1,                0.65624,                0.23148,                 1.9512,                 3.6071,                 2.8689,                 1.4158,                 0.0706,              0.0032667,              0.0032667
                      1,                  1.119,                 1.1755,                 1.0337,                0.95901,                0.85086,                0.18542,                0.45689,                0.19158,                0.81645,                0.17792,                0.42469,                0.16115,                 1.8583,                 2.3535,                 2.7054,                 1.2709,               0.039947,              0.0059466,              0.0059466
                      2,                 1.1154,                 1.1269,                0.96678,                 0.9504,                0.74821,                 0.6375,                0.73667,                 0.3806,                   0.74,                 0.6375,                0.73103,                0.33173,                 1.8617,                 2.8459,                 1.9287,                  1.313,              0.0086332,              0.0079665,              0.0079665
                      3,                0.99513,                 1.0685,                0.89454,                0.92839,                0.86466,                 0.7475,                0.87917,                0.35285,                0.86496,                 0.7525,                0.87888,                0.36958,                 2.2164,                 3.4742,                 1.4889,                 1.5527,                0.00703,                0.00703,                0.00703
                      4,                0.96827,                 1.0277,                0.83637,                0.91931,                0.94128,                0.92179,                0.98405,                0.49042,                0.94431,                 0.9175,                0.97926,                0.50616,                 1.8801,                 3.6346,                 1.2293,                 1.3021,                0.00703,                0.00703,                0.00703
                      5,                0.96598,                0.89767,                0.80444,                0.91605,                0.95194,                0.94082,                0.98577,                0.52667,                0.94941,                0.93832,                0.98551,                0.48457,                 1.7336,                 3.3855,                 1.0873,                 1.2086,                0.00604,                0.00604,                0.00604
                      6,                0.87259,                 0.8765,                0.72539,                0.90728,                0.96645,                0.93629,                0.98866,                0.57085,                0.97111,                0.92438,                0.97705,                0.46276,                 1.6011,                 4.1658,                 1.0133,                 1.1899,                0.00505,                0.00505,                0.00505
                      7,                0.80995,                0.84657,                 0.6994,                0.88612,                0.96283,                 0.9675,                0.98958,                0.50261,                0.96283,                 0.9675,                0.98906,                0.48525,                 1.8624,                 3.7016,                 1.0184,                 1.2796,                0.00406,                0.00406,                0.00406
                      8,                0.78296,                0.80695,                0.65331,                0.88563,                0.98733,                  0.985,                0.99367,                0.52093,                0.98733,                  0.985,                0.99367,                 0.5162,                 1.8307,                 3.4472,                0.89521,                 1.2411,                0.00307,                0.00307,                0.00307
                      9,                0.76184,                0.78158,                0.60983,                0.87751,                0.99002,                0.99242,                0.99465,                0.53902,                0.99002,                0.99242,                0.99465,                0.51153,                 1.6919,                 3.5807,                0.85824,                 1.2193,                0.00208,                0.00208,                0.00208
